Date;PhaseName;Rank;Medal;Person/Team;Country; ;Age (days);Result
21/08/2016;Athletics Marathon Men - Olympic Games 2016;15;;Paulo Roberto Paula (BRA, 08 Jul 1979);Brazil;;37-044;2:13:56
21/08/2016;Athletics Marathon Men - Olympic Games 2016;59;;Marilson dos Santos (BRA, 06 Aug 1977);Brazil;;39-015;2:19:09
21/08/2016;Athletics Marathon Men - Olympic Games 2016;77;;Solonei da Silva (BRA, 18 Apr 1982);Brazil;;34-125;2:22:05
21/08/2016;Basketball Team Men - Olympic Games 2016;9;;Brazil;Brazil;;30-010;
21/08/2016;Boxing Flyweight Men - Olympic Games 2016;17;;Julião Henriques Neto (BRA, 16 Aug 1981);Brazil;;35-005;
21/08/2016;Boxing Light Welterweight Men - Olympic Games 2016;9;;Joedison Teixeira (BRA, 28 Jan 1994);Brazil;;22-206;
21/08/2016;Boxing Middleweight Women - Olympic Games 2016;5;;Andreia Bandeira (BRA, 03 May 1987);Brazil;;29-110;
21/08/2016;Gymnastics - Rhythmic Group All-Around Women - Olympic Games 2016;9;;Brazil;Brazil;;20-346;32,65
21/08/2016;Handball Team Men - Olympic Games 2016;7;;Brazil;Brazil;;27-129;
21/08/2016;Mountain Bike Cross Country Men - Olympic Games 2016;23;;Henrique Avancini (BRA, 30 Mar 1989);Brazil;;27-144;1:41:18
21/08/2016;Mountain Bike Cross Country Men - Olympic Games 2016;30;;Valeriano Rubens Donizeti (BRA, 14 Aug 1979);Brazil;;37-007;1:44:01
21/08/2016;Volleyball Team Men - Olympic Games 2016;1;G;Brazil;Brazil;;30-253;
21/08/2016;Volleyball Team Women - Olympic Games 2016;5;;Brazil;Brazil;;30-261;
20/08/2016;Athletics 4 x 400m Relay Men - Olympic Games 2016;8;;Brazil;Brazil;;25-130;3:03.28
20/08/2016;Athletics 4 x 400m Relay Women - Olympic Games 2016;15;;Brazil;Brazil;;29-206;3:30.27
20/08/2016;Athletics 800m Women - Olympic Games 2016;52;;Flavia De Lima (BRA, 01 Jul 1993);Brazil;;23-050;2:03.78
