Date,PhaseName,Rank,Medal,Person/Team,Country, ,Age (days),Result
08-Aug-2021,Athletics Marathon Men - Olympic Games 2021,69,,"Paulo Roberto Paula (BRA, 08 Jul 1979)",Brazil,,42-031,2:26:08
08-Aug-2021,Athletics Marathon Men - Olympic Games 2021,DNF,,"Daniel do Nascimento (BRA, 28 Jul 1998)",Brazil,,23-011,
08-Aug-2021,Athletics Marathon Men - Olympic Games 2021,DNF,,"Daniel Da Silva (BRA, 10 Jul 1988)",Brazil,,33-029,
08-Aug-2021,Boxing Lightweight Men - Olympic Games 2021,5,,"Wanderson Oliveira (BRA, 26 Mar 1997)",Brazil,,24-135,
08-Aug-2021,Boxing Lightweight Women - Olympic Games 2021,2,S,"Beatriz Ferreira (BRA, 09 Dec 1992)",Brazil,,28-242,
08-Aug-2021,Football Team Men - Olympic Games 2021,1,G,Brazil,Brazil,,23-343,
08-Aug-2021,Gymnastics - Rhythmic Group All-Around Women - Olympic Games 2021,12,,Brazil,Brazil,,18-299,73.250
08-Aug-2021,Handball Team Women - Olympic Games 2021,11,,Brazil,Brazil,,30-092,
08-Aug-2021,Volleyball Team Women - Olympic Games 2021,2,S,Brazil,Brazil,,30-262,
07-Aug-2021,Athletics 1500m Men - Olympic Games 2021,40,,"Thiago Andrè (BRA, 04 Aug 1995)",Brazil,,26-003,3:47.71
07-Aug-2021,Beach Volleyball Team Men - Olympic Games 2021,5,,Alison / Álvaro Filho,Brazil,,33-066,
07-Aug-2021,Beach Volleyball Team Men - Olympic Games 2021,9,,Bruno / Evandro,Brazil,,32-346,
07-Aug-2021,Boxing Flyweight Women - Olympic Games 2021,9,,"Graziele Sousa (BRA, 03 Mar 1991)",Brazil,,30-157,
07-Aug-2021,Boxing Middleweight Men - Olympic Games 2021,1,G,"Hebert Sousa (BRA, 28 Feb 1998)",Brazil,,23-160,
07-Aug-2021,Canoe Sprint C1 1000m Men - Olympic Games 2021,1,G,"Isaquias Queiroz Dos Santos (BRA, 03 Jan 1994)",Brazil,,27-216,4:04.408
07-Aug-2021,Canoe Sprint C1 1000m Men - Olympic Games 2021,26,,"Jacky Godmann (BRA, 14 Apr 1999)",Brazil,,22-115,4:18.208
07-Aug-2021,Diving 10m Platform Men - Olympic Games 2021,10,,"Kawan Pereira (BRA, 17 Jun 2002)",Brazil,,19-051,393.85
07-Aug-2021,Diving 10m Platform Men - Olympic Games 2021,20,,"Isaac Souza Filho (BRA, 23 Jun 1999)",Brazil,,22-045,339.30
07-Aug-2021,Equestrian - Jumping Team Open - Olympic Games 2021,6,,Brazil,Brazil,,40-239,29.0
07-Aug-2021,Football Team Women - Olympic Games 2021,6,,Brazil,Brazil,,29-064,
07-Aug-2021,Handball Team Men - Olympic Games 2021,10,,Brazil,Brazil,,29-012,
07-Aug-2021,Volleyball Team Men - Olympic Games 2021,4,,Brazil,Brazil,,31-069,
06-Aug-2021,Athletics 4 x 100m Relay Men - Olympic Games 2021,12,,Brazil,Brazil,,23-360,38.34
